x;y;Species;Reference
-49.104722;-27.025833;Alsophila setosa;GBIF
-49.229167;-27.721111;Alsophila setosa;GBIF
-49.499722;-26.73;Alsophila setosa;GBIF
-49.322222;-28.17;Alsophila setosa;GBIF
-49.411944;-28.259722;Alsophila setosa;GBIF
-49.41;-28.17;Alsophila setosa;GBIF
-49.320278;-26.370556;Alsophila setosa;GBIF
-49.498611;-28.443611;Alsophila setosa;GBIF
-49.408889;-28.621944;Alsophila setosa;GBIF
-49.86;-28.89;Alsophila setosa;GBIF
-49.86;-28.8;Alsophila setosa;GBIF
-49.050833;-27.000556;Alsophila setosa;GBIF
-48.871111;-26.819722;Alsophila setosa;GBIF
-49.859167;-28.979444;Alsophila setosa;GBIF
-49.9525;-29.159444;Alsophila setosa;GBIF
-49.86;-29.07;Alsophila setosa;GBIF
-49.049444;-26.819722;Alsophila setosa;GBIF
-53.301667;-26.432778;Alsophila setosa;GBIF
-52.515833;-26.773611;Alsophila setosa;GBIF
-49.4975;-27.901389;Alsophila setosa;GBIF
-49.495833;-28.172222;Alsophila setosa;GBIF
-53.298611;-26.400556;Alsophila setosa;GBIF
-49.23;-27.9;Alsophila setosa;GBIF
-52.564167;-26.460556;Alsophila setosa;GBIF
-50.94;-27.63;Alsophila setosa;GBIF
-50.1775;-29.354444;Alsophila setosa;GBIF
-49.071944;-26.921389;Alsophila setosa;GBIF
-48.363333;-24.3075;Alsophila setosa;GBIF
-54.41;-25.88;Alsophila setosa;GBIF
-54.49;-25.68;Alsophila setosa;GBIF
-53.88;-26.9;Alsophila setosa;GBIF
-54.21;-26.92;Alsophila setosa;GBIF
-53.88;-27.13;Alsophila setosa;GBIF
-54.12;-26.6;Alsophila setosa;GBIF
-53.96;-26.64;Alsophila setosa;GBIF
-51.73529816;-29.16889954;Alsophila setosa;SpeciesLink
-51.1794014;-29.16810036;Alsophila setosa;SpeciesLink
-49.7635994;-28.99749947;Alsophila setosa;SpeciesLink
-49.12860107;-27.90189934;Alsophila setosa;SpeciesLink
-49.33359909;-27.70030022;Alsophila setosa;SpeciesLink
-52.27389908;-27.63419914;Alsophila setosa;SpeciesLink
-48.95890045;-26.9314003;Alsophila setosa;SpeciesLink
-48.82720184;-26.89970016;Alsophila setosa;SpeciesLink
-53.27830124;-26.34749985;Alsophila setosa;SpeciesLink
-51.46080017;-23.55080032;Alsophila setosa;SpeciesLink
-49.68;-28.799722;Alsophila setosa;IFFSC
-49.77;-28.71;Alsophila setosa;IFFSC
-49.413056;-28.526389;Alsophila setosa;IFFSC
-49.319167;-28.348056;Alsophila setosa;IFFSC
-49.231944;-28.352778;Alsophila setosa;IFFSC
-49.499444;-28.260278;Alsophila setosa;IFFSC
-48.959444;-28.2625;Alsophila setosa;IFFSC
-49.049722;-28.169444;Alsophila setosa;IFFSC
-48.870278;-28.169444;Alsophila setosa;IFFSC
-48.78;-28.08;Alsophila setosa;IFFSC
-48.69;-28.08;Alsophila setosa;IFFSC
-49.230833;-27.989722;Alsophila setosa;IFFSC
-48.78;-27.99;Alsophila setosa;IFFSC
-49.59;-27.81;Alsophila setosa;IFFSC
-49.14;-27.81;Alsophila setosa;IFFSC
-48.96;-27.72;Alsophila setosa;IFFSC
-49.59;-27.63;Alsophila setosa;IFFSC
-49.5;-27.63;Alsophila setosa;IFFSC
-49.233611;-27.63;Alsophila setosa;IFFSC
-48.87;-27.63;Alsophila setosa;IFFSC
-49.770556;-27.54;Alsophila setosa;IFFSC
-49.41;-27.54;Alsophila setosa;IFFSC
-48.96;-27.54;Alsophila setosa;IFFSC
-49.32;-27.45;Alsophila setosa;IFFSC
-49.23;-27.449722;Alsophila setosa;IFFSC
-49.14;-27.449722;Alsophila setosa;IFFSC
-49.05;-27.450556;Alsophila setosa;IFFSC
-49.68;-27.36;Alsophila setosa;IFFSC
-49.502222;-27.360556;Alsophila setosa;IFFSC
-49.32;-27.359722;Alsophila setosa;IFFSC
-49.23;-27.359722;Alsophila setosa;IFFSC
-49.137778;-27.359722;Alsophila setosa;IFFSC
-48.96;-27.36;Alsophila setosa;IFFSC
-48.8675;-27.359722;Alsophila setosa;IFFSC
-48.78;-27.36;Alsophila setosa;IFFSC
